Accreditation,FarmName,Barangay,Municipality,Province,ContactPerson,DateEvaluated,ExpiryDate
Swine Breeder,"QUICKGROW GENETICS PHILS.,INC (A.O SANTOS FARM)",Ungib,San Quintin,Pangasinan,Mr. Erwin Muzones,7/26/2017,2019
Swine Breeder,RANCHO ORO CORPORATION (PIC),Sinnipil,Cauayan,Isabela,Dr. GIl Austria,4/20/2018,2020
Swine Breeder,ROBINA FARMS (RF12),Calumpang,San Miguel,Bulacan,Dr. Librada Dizon,9/27/2016,2018
Swine Breeder,SWINE NUCLEUS/MULTIPLIER FARM (PILMICO),Sto. Rosario,Capas,Tarlac,Dr. Camille Bamban Joel Punsalan,5/4/2018,2020
Swine Breeder,V4 FARMS,SaguwaBanua,Valladolid,Negros Occidental,Mr. Stev Young,1/24/2018,2020
Swine Breeder,"VENVI AGRO-INDUSTRIALVENTURES, CORP. ",San Agustin,San Nicolas,Ilocos Norte,Dr. Gil Austria,1/19/2018,2020
Small Ruminants,ALAMINOS GOAT FARM- Nucleus,Brgy. Alaminos,Alaminos, Laguna,Mr. Artemus Lot Mr. Toti Almeda,9/1/2017,2019
Small Ruminants,BARILI GOAT FARM (Goat) - Nucleus,Brgy.Gunting, Barili, Cebu,Mr. Eduardo Aguilar,11/1/2014,2016
Small Ruminants,Beverly's Goat Ranch (Goat) - Multiplier,Brgy. Rosario,San Jose, La Union,Beverly G. Rimando,10/1/2016,2018
Small Ruminants,ED RANCH (Goat) - Multiplier,-,Cataingan, Masbate,Edwin Du,8/1/2016,2018
Small Ruminants,ED RANCH (Sheep) - Multiplier,-,Cataingan, Masbate,Edwin Du,8/1/2016,2018
Small Ruminants,JOLISA AGRIBUSINESS CORPORATION (Sheep) - Nucleus,Sinawal, Gen. Santos City,South Cotabato,Mr. JovenK. Chua Mr. Richard Chua,11/1/2013,2015
Small Ruminants,JSJ Goat Farm (Goat) - Nucleus,Caturay, Gerona, Tarlac,Mr. Jeffry Lim,11/1/2016,2018
Small Ruminants,JSJ Goat Farm (Sheep) - Nucleus,Caturay, Gerona, Tarlac,Mr. Jeffry Lim,11/1/2016,2018
Small Ruminants,NAGA CITY GOAT FARM(Goat) - Nucleus,San Felipe, Naga City,Camarines Sur,Dr. Rufo T. Llorin Jr.,5/1/2016,2018
Cattle Breeder,ED RANCH (commercial-multiplier),Bangad, Milagros, Masbate,-,8/1/2017,2019
Cattle Breeder,FORTUNA BRAHMANS-FAVIS DEVELOPMENT & MANAGEMENT CORPORATION (nucleus),Tigbao, Milagros, Masbate,-,8/1/2017,2019
Cattle Breeder,JADECO FARMS (nucleus),Sitio Malabay, Matiporon, Milagros, Masbate,1/1/2018,2020
Cattle Breeder,JOLISA AGRIBUSINESS CORPORATION (nucleus),Brgy.Sirawal, Gen. Santos City,,-,12/1/2015,2017
Cattle Breeder,"QBB AGRICULTURE, LIVESTOCK AND SERVICES (commercial)",Mactan, Uson, Masbate,-,8/1/2017,2019
Cattle Breeder,"SARANGANI AGRICULTURAL COMPANY, INC. (nucleus)",SACI Compound, Maribulan Alabel, Sarangani Province,-,4/1/2017,2019
